date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:35:30	6637/6637	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Jul%202017%2005:26:05%20GMT	https://christopher.su/interview/swe/	C:/My%20Web%20Sites/test/christopher.su/interview/swe/index.html	(from https://christopher.su/index/)
22:35:30	54084/54084	---M--	200	added ('OK')	image/jpeg	date:Fri,%2028%20Jul%202017%2005:25:59%20GMT	https://christopher.su/assets/uploads/2016/progress/snippet.jpg	C:/My%20Web%20Sites/test/christopher.su/assets/uploads/2016/progress/snippet.jpg	(from https://christopher.su/blog/)
22:35:30	3296/3296	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Jul%202017%2005:26:05%20GMT	https://christopher.su/interview/pm/	C:/My%20Web%20Sites/test/christopher.su/interview/pm/index.html	(from https://christopher.su/index/)
22:35:30	6300/6300	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Jul%202017%2005:26:05%20GMT	https://christopher.su/national-history-day-website-resources/	C:/My%20Web%20Sites/test/christopher.su/national-history-day-website-resources/index.html	(from https://christopher.su/index/)
22:35:31	5021/5021	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Jul%202017%2005:26:05%20GMT	https://christopher.su/2016/install-koken-ec2/	C:/My%20Web%20Sites/test/christopher.su/2016/install-koken-ec2/index.html	(from https://christopher.su/blog/)
22:35:31	5010/5010	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Jul%202017%2005:26:05%20GMT	https://christopher.su/2016/making-progress/	C:/My%20Web%20Sites/test/christopher.su/2016/making-progress/index.html	(from https://christopher.su/blog/)
22:35:32	23935/23935	---M--	200	added ('OK')	image/jpeg	date:Fri,%2028%20Jul%202017%2005:25:59%20GMT	https://christopher.su/assets/uploads/2016/progress/filesystem.jpg	C:/My%20Web%20Sites/test/christopher.su/assets/uploads/2016/progress/filesystem.jpg	(from https://christopher.su/blog/)
22:35:33	4063/4063	---MCZ	200	added ('OK')	text/html	date:Wed,%2002%20Aug%202017%2017:05:34%20GMT	https://christopher.su/cdn-cgi/l/email-protection	C:/My%20Web%20Sites/test/christopher.su/cdn-cgi/l/email-protection.html	(from https://christopher.su/blog/)
22:35:33	47373/47373	---M--	200	added ('OK')	image/jpeg	date:Fri,%2028%20Jul%202017%2005:25:59%20GMT	https://christopher.su/assets/uploads/2016/progress/editor.jpg	C:/My%20Web%20Sites/test/christopher.su/assets/uploads/2016/progress/editor.jpg	(from https://christopher.su/blog/)
22:35:34	6790/6790	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Jul%202017%2005:26:05%20GMT	https://christopher.su/2015/wildcard-email-forwarding/	C:/My%20Web%20Sites/test/christopher.su/2015/wildcard-email-forwarding/index.html	(from https://christopher.su/blog/)
22:35:34	236531/236531	---M--	200	added ('OK')	image/jpeg	date:Fri,%2028%20Jul%202017%2005:25:59%20GMT	https://christopher.su/assets/uploads/2015/11/mailgun/1.jpg	C:/My%20Web%20Sites/test/christopher.su/assets/uploads/2015/11/mailgun/1.jpg	(from https://christopher.su/blog/)
22:35:34	251/251	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2002%20Aug%202017%2017:05:36%20GMT	https://christopher.su/blog/page2	C:/My%20Web%20Sites/test/christopher.su/blog/page2	(from https://christopher.su/blog/)
22:35:36	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2002%20Aug%202017%2017:05:36%20GMT	http://christopher.su/blog/page2/	C:/My%20Web%20Sites/test/christopher.su/blog/page2/index.html	(from https://christopher.su/blog/)
22:35:36	75102/75102	---M--	200	added ('OK')	application/pdf	date:Fri,%2028%20Jul%202017%2005:25:59%20GMT	https://christopher.su/resume.pdf	C:/My%20Web%20Sites/test/christopher.su/resume.pdf	(from https://christopher.su/resume/)
22:35:37	169692/169692	---M--	200	added ('OK')	image/png	date:Fri,%2028%20Jul%202017%2005:25:59%20GMT	https://christopher.su/resume/Su_Christopher_Resume.png	C:/My%20Web%20Sites/test/christopher.su/resume/Su_Christopher_Resume.png	(from https://christopher.su/resume/)
22:35:37	17694/17694	---M--	200	added ('OK')	image/jpeg	date:Fri,%2028%20Jul%202017%2005:25:59%20GMT	https://christopher.su/projects/translator/img/translate-status-1.jpg	C:/My%20Web%20Sites/test/christopher.su/projects/translator/img/translate-status-1.jpg	(from https://christopher.su/projects/translator/)
22:35:38	24662/24662	---M--	200	added ('OK')	image/jpeg	date:Fri,%2028%20Jul%202017%2005:25:59%20GMT	https://christopher.su/projects/translator/img/translate-status-2.jpg	C:/My%20Web%20Sites/test/christopher.su/projects/translator/img/translate-status-2.jpg	(from https://christopher.su/projects/translator/)
22:35:39	12483/12483	---M--	200	added ('OK')	image/jpeg	date:Fri,%2028%20Jul%202017%2005:25:59%20GMT	https://christopher.su/projects/translator/img/translate-other-status-1.jpg	C:/My%20Web%20Sites/test/christopher.su/projects/translator/img/translate-other-status-1.jpg	(from https://christopher.su/projects/translator/)
22:35:39	16875/16875	---M--	200	added ('OK')	image/jpeg	date:Fri,%2028%20Jul%202017%2005:25:59%20GMT	https://christopher.su/projects/translator/img/translate-other-status-2.jpg	C:/My%20Web%20Sites/test/christopher.su/projects/translator/img/translate-other-status-2.jpg	(from https://christopher.su/projects/translator/)
22:35:42	29143/29143	---M--	200	added ('OK')	image/jpeg	date:Fri,%2028%20Jul%202017%2005:25:59%20GMT	https://christopher.su/projects/translator/img/translate-other-status-3.jpg	C:/My%20Web%20Sites/test/christopher.su/projects/translator/img/translate-other-status-3.jpg	(from https://christopher.su/projects/translator/)
22:35:42	14810/14810	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Jul%202017%2005:26:05%20GMT	https://christopher.su/2015/text-announcements/	C:/My%20Web%20Sites/test/christopher.su/2015/text-announcements/index.html	(from https://christopher.su/archive/)
22:35:42	6024/6024	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Jul%202017%2005:26:05%20GMT	https://christopher.su/2015/gollum-tricks/	C:/My%20Web%20Sites/test/christopher.su/2015/gollum-tricks/index.html	(from https://christopher.su/archive/)
22:35:43	6977/6977	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Jul%202017%2005:26:05%20GMT	https://christopher.su/2015/selenium-chromedriver-ubuntu/	C:/My%20Web%20Sites/test/christopher.su/2015/selenium-chromedriver-ubuntu/index.html	(from https://christopher.su/archive/)
22:35:45	5453/5453	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Jul%202017%2005:26:05%20GMT	https://christopher.su/2014/maos-great-famine-quick-reference-bar/	C:/My%20Web%20Sites/test/christopher.su/2014/maos-great-famine-quick-reference-bar/index.html	(from https://christopher.su/archive/)
22:35:45	5787/5787	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Jul%202017%2005:26:05%20GMT	https://christopher.su/2014/tracking-analyzing-website-traffic-google-analytics/	C:/My%20Web%20Sites/test/christopher.su/2014/tracking-analyzing-website-traffic-google-analytics/index.html	(from https://christopher.su/archive/)
22:35:45	5001/5001	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Jul%202017%2005:26:05%20GMT	https://christopher.su/2014/wordpress-ghost-jekyll/	C:/My%20Web%20Sites/test/christopher.su/2014/wordpress-ghost-jekyll/index.html	(from https://christopher.su/archive/)
22:35:45	5805/5805	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Jul%202017%2005:26:05%20GMT	https://christopher.su/2014/code-every-day/	C:/My%20Web%20Sites/test/christopher.su/2014/code-every-day/index.html	(from https://christopher.su/archive/)
22:35:46	4323/4323	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Jul%202017%2005:26:05%20GMT	https://christopher.su/2014/uploading-files-weebly-file-element/	C:/My%20Web%20Sites/test/christopher.su/2014/uploading-files-weebly-file-element/index.html	(from https://christopher.su/archive/)
22:35:47	2013/2013	---M--	200	added ('OK')	text/css	etag:%22bd21b0313fe7dc2b8ac08955a7ef1209%22	http://cdn-images.mailchimp.com/embedcode/horizontal-slim-10_7.css	C:/My%20Web%20Sites/test/cdn-images.mailchimp.com/embedcode/horizontal-slim-10_7.css	(from https://christopher.su/interview/swe/)
22:35:48	6264/6264	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Jul%202017%2005:26:05%20GMT	https://christopher.su/2014/compressing-image-files-save-space/	C:/My%20Web%20Sites/test/christopher.su/2014/compressing-image-files-save-space/index.html	(from https://christopher.su/archive/)
22:35:48	6740/6740	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Jul%202017%2005:26:05%20GMT	https://christopher.su/2014/recording-interview-audio-video/	C:/My%20Web%20Sites/test/christopher.su/2014/recording-interview-audio-video/index.html	(from https://christopher.su/archive/)
22:35:49	4592/4592	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Jul%202017%2005:26:05%20GMT	https://christopher.su/2014/create-custom-weebly-theme/	C:/My%20Web%20Sites/test/christopher.su/2014/create-custom-weebly-theme/index.html	(from https://christopher.su/archive/)
22:35:50	6625/6625	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Jul%202017%2005:26:05%20GMT	https://christopher.su/2013/fixing-gmail-archive-delete-key-apple-mail-mavericks/	C:/My%20Web%20Sites/test/christopher.su/2013/fixing-gmail-archive-delete-key-apple-mail-mavericks/index.html	(from https://christopher.su/archive/)
22:35:50	4257/4257	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Jul%202017%2005:26:05%20GMT	https://christopher.su/2013/fixing-ruby-mac-os-mavericks/	C:/My%20Web%20Sites/test/christopher.su/2013/fixing-ruby-mac-os-mavericks/index.html	(from https://christopher.su/archive/)
22:35:51	5327/5327	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Jul%202017%2005:26:05%20GMT	https://christopher.su/2013/last-fm-fails-properly-import-play-count-itunes/	C:/My%20Web%20Sites/test/christopher.su/2013/last-fm-fails-properly-import-play-count-itunes/index.html	(from https://christopher.su/archive/)
22:35:52	5162/5162	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Jul%202017%2005:26:05%20GMT	https://christopher.su/2013/text-visible-blends-background/	C:/My%20Web%20Sites/test/christopher.su/2013/text-visible-blends-background/index.html	(from https://christopher.su/archive/)
22:35:53	10505/10505	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Jul%202017%2005:26:05%20GMT	https://christopher.su/2013/saving-pocket-links-file-day-dropbox-ifttt-launchd/	C:/My%20Web%20Sites/test/christopher.su/2013/saving-pocket-links-file-day-dropbox-ifttt-launchd/index.html	(from https://christopher.su/archive/)
22:35:53	6973/6973	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Jul%202017%2005:26:05%20GMT	https://christopher.su/2013/pairing-nxt-bricks-bluetooth-robotc-virtual-machine-mac/	C:/My%20Web%20Sites/test/christopher.su/2013/pairing-nxt-bricks-bluetooth-robotc-virtual-machine-mac/index.html	(from https://christopher.su/archive/)
22:35:54	5047/5047	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Jul%202017%2005:26:05%20GMT	https://christopher.su/2013/removing-post-comment-counts-clean-archives-reloaded/	C:/My%20Web%20Sites/test/christopher.su/2013/removing-post-comment-counts-clean-archives-reloaded/index.html	(from https://christopher.su/archive/)
22:35:55	4902/4902	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Jul%202017%2005:26:05%20GMT	https://christopher.su/2012/changing-bookmarks-based-date/	C:/My%20Web%20Sites/test/christopher.su/2012/changing-bookmarks-based-date/index.html	(from https://christopher.su/archive/)
22:35:55	6036/6036	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Jul%202017%2005:26:05%20GMT	https://christopher.su/2012/increment-decrement-bookmarklets/	C:/My%20Web%20Sites/test/christopher.su/2012/increment-decrement-bookmarklets/index.html	(from https://christopher.su/archive/)
22:35:56	5798/5798	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Jul%202017%2005:26:05%20GMT	https://christopher.su/2012/day-one-to-gollum/	C:/My%20Web%20Sites/test/christopher.su/2012/day-one-to-gollum/index.html	(from https://christopher.su/archive/)
22:35:57	7228/7228	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Jul%202017%2005:26:05%20GMT	https://christopher.su/2012/automatically-committing-git-textmate/	C:/My%20Web%20Sites/test/christopher.su/2012/automatically-committing-git-textmate/index.html	(from https://christopher.su/archive/)
22:35:57	7521/7521	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Jul%202017%2005:26:05%20GMT	https://christopher.su/2012/embedding-documents-google-docs/	C:/My%20Web%20Sites/test/christopher.su/2012/embedding-documents-google-docs/index.html	(from https://christopher.su/archive/)
22:35:58	6027/6027	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Jul%202017%2005:26:05%20GMT	https://christopher.su/2012/maos-great-famine-interactive-data-map/	C:/My%20Web%20Sites/test/christopher.su/2012/maos-great-famine-interactive-data-map/index.html	(from https://christopher.su/archive/)
22:35:59	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2002%20Aug%202017%2017:06:00%20GMT	http://christopher.su/robots.txt		(from https://christopher.su/blog/)
22:35:59	7073/7073	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Jul%202017%2005:26:05%20GMT	https://christopher.su/2012/markdown-mac/	C:/My%20Web%20Sites/test/christopher.su/2012/markdown-mac/index.html	(from https://christopher.su/archive/)
22:36:00	5891/5891	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Jul%202017%2005:26:05%20GMT	https://christopher.su/2012/beginning-ios-development-apache-cordova/	C:/My%20Web%20Sites/test/christopher.su/2012/beginning-ios-development-apache-cordova/index.html	(from https://christopher.su/archive/)
22:36:01	5509/5509	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Jul%202017%2005:26:05%20GMT	https://christopher.su/2012/photoshop-photomerge-yunnan/	C:/My%20Web%20Sites/test/christopher.su/2012/photoshop-photomerge-yunnan/index.html	(from https://christopher.su/archive/)
22:36:02	7116/7116	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Jul%202017%2005:26:05%20GMT	https://christopher.su/2012/photographs-yunnan/	C:/My%20Web%20Sites/test/christopher.su/2012/photographs-yunnan/index.html	(from https://christopher.su/archive/)
22:36:03	4972/4972	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Jul%202017%2005:26:05%20GMT	https://christopher.su/2012/adobe-lightroom-4-retina-macbook-pro/	C:/My%20Web%20Sites/test/christopher.su/2012/adobe-lightroom-4-retina-macbook-pro/index.html	(from https://christopher.su/archive/)
22:36:04	10009/10009	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Jul%202017%2005:26:05%20GMT	https://christopher.su/2012/review-pdfpenpro/	C:/My%20Web%20Sites/test/christopher.su/2012/review-pdfpenpro/index.html	(from https://christopher.su/archive/)
22:36:04	5082/5082	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Jul%202017%2005:26:05%20GMT	https://christopher.su/2012/export-school-specific-delegation-lists-mun-sql/	C:/My%20Web%20Sites/test/christopher.su/2012/export-school-specific-delegation-lists-mun-sql/index.html	(from https://christopher.su/archive/)
22:36:05	5579/5579	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Jul%202017%2005:26:05%20GMT	https://christopher.su/2012/playing-wordpress-categories-tags-simply-exclude-page-templates/	C:/My%20Web%20Sites/test/christopher.su/2012/playing-wordpress-categories-tags-simply-exclude-page-templates/index.html	(from https://christopher.su/archive/)
22:36:06	6441/6441	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Jul%202017%2005:26:05%20GMT	https://christopher.su/2012/starting-yii-php-framework/	C:/My%20Web%20Sites/test/christopher.su/2012/starting-yii-php-framework/index.html	(from https://christopher.su/archive/)
22:36:06	5395/5395	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Jul%202017%2005:26:05%20GMT	https://christopher.su/2012/migrating-ios-certificates-profiles/	C:/My%20Web%20Sites/test/christopher.su/2012/migrating-ios-certificates-profiles/index.html	(from https://christopher.su/archive/)
22:36:07	5033/5033	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Jul%202017%2005:26:05%20GMT	https://christopher.su/2012/importing-plain-text-files-day-date-created/	C:/My%20Web%20Sites/test/christopher.su/2012/importing-plain-text-files-day-date-created/index.html	(from https://christopher.su/archive/)
22:36:08	4667/4667	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Jul%202017%2005:26:05%20GMT	https://christopher.su/2012/acquiring-growl-notifications-shell/	C:/My%20Web%20Sites/test/christopher.su/2012/acquiring-growl-notifications-shell/index.html	(from https://christopher.su/archive/)
22:36:09	5413/5413	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Jul%202017%2005:26:05%20GMT	https://christopher.su/2012/dropbox-linux/	C:/My%20Web%20Sites/test/christopher.su/2012/dropbox-linux/index.html	(from https://christopher.su/archive/)
22:36:10	5852/5852	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Jul%202017%2005:26:05%20GMT	https://christopher.su/2012/encrypt-archives-gpg-openssl/	C:/My%20Web%20Sites/test/christopher.su/2012/encrypt-archives-gpg-openssl/index.html	(from https://christopher.su/archive/)
22:36:10	4720/4720	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Jul%202017%2005:26:05%20GMT	https://christopher.su/2012/singularity-cms-single-php-file/	C:/My%20Web%20Sites/test/christopher.su/2012/singularity-cms-single-php-file/index.html	(from https://christopher.su/archive/)
22:36:11	6423/6423	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Jul%202017%2005:26:05%20GMT	https://christopher.su/2012/creating-mac-applications-shell-scripts/	C:/My%20Web%20Sites/test/christopher.su/2012/creating-mac-applications-shell-scripts/index.html	(from https://christopher.su/archive/)
22:36:11	10826/10826	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Jul%202017%2005:26:05%20GMT	https://christopher.su/2012/system-tweaks-mac-experience/	C:/My%20Web%20Sites/test/christopher.su/2012/system-tweaks-mac-experience/index.html	(from https://christopher.su/archive/)
22:36:11	6340/6340	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Jul%202017%2005:26:05%20GMT	https://christopher.su/2012/svbtle-clones-playing-wordpress-svbtle/	C:/My%20Web%20Sites/test/christopher.su/2012/svbtle-clones-playing-wordpress-svbtle/index.html	(from https://christopher.su/archive/)
22:36:11	3227/3227	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Jul%202017%2005:26:05%20GMT	https://christopher.su/notes/js/	C:/My%20Web%20Sites/test/christopher.su/notes/js/index.html	(from https://christopher.su/notes/)
22:36:12	55509/55509	---M--	200	added ('OK')	image/jpeg	date:Fri,%2028%20Jul%202017%2005:25:59%20GMT	https://christopher.su/assets/uploads/Screen-Shot-2014-01-25-at-2.57.07-PM.jpg	C:/My%20Web%20Sites/test/christopher.su/assets/uploads/Screen-Shot-2014-01-25-at-2.57.07-PM.jpg	(from https://christopher.su/2014/tracking-analyzing-website-traffic-google-analytics/)
22:36:12	5543/5543	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Jul%202017%2005:26:05%20GMT	https://christopher.su/notes/go/	C:/My%20Web%20Sites/test/christopher.su/notes/go/index.html	(from https://christopher.su/notes/)
22:36:12	9207/9207	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Jul%202017%2005:26:05%20GMT	https://christopher.su/notes/git/	C:/My%20Web%20Sites/test/christopher.su/notes/git/index.html	(from https://christopher.su/notes/)
22:36:12	3877/3877	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Jul%202017%2005:26:05%20GMT	https://christopher.su/notes/mac/	C:/My%20Web%20Sites/test/christopher.su/notes/mac/index.html	(from https://christopher.su/notes/)
22:36:14	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2002%20Aug%202017%2017:06:14%20GMT	http://christopher.su/interview/	C:/My%20Web%20Sites/test/christopher.su/interview/index.html	(from https://christopher.su/interview/swe/)
22:36:15	5471/5471	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Jul%202017%2005:26:05%20GMT	https://christopher.su/interview/swe/implement-data-structures/	C:/My%20Web%20Sites/test/christopher.su/interview/swe/implement-data-structures/index.html	(from https://christopher.su/interview/swe/)
22:36:15	6467/6467	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Jul%202017%2005:26:05%20GMT	https://christopher.su/interview/swe/implement-algorithms/	C:/My%20Web%20Sites/test/christopher.su/interview/swe/implement-algorithms/index.html	(from https://christopher.su/interview/swe/)
22:36:16	34562/34562	---M--	200	added ('OK')	image/jpeg	date:Fri,%2028%20Jul%202017%2005:25:59%20GMT	https://christopher.su/assets/uploads/Screen-Shot-2014-01-25-at-2.57.07-PM-1024x539.jpg	C:/My%20Web%20Sites/test/christopher.su/assets/uploads/Screen-Shot-2014-01-25-at-2.57.07-PM-1024x539.jpg	(from https://christopher.su/2014/tracking-analyzing-website-traffic-google-analytics/)
22:36:17	2895/2895	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Jul%202017%2005:26:05%20GMT	https://christopher.su/interview/swe/2-sum/	C:/My%20Web%20Sites/test/christopher.su/interview/swe/2-sum/index.html	(from https://christopher.su/interview/swe/)
